 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
361,0.118,1.553,0.499,101,1508,104.036,0.402
362,0.037,0.773,0.345,29,1516,37.875,0.162
363,0.045,0.858,0.365,158,1524,24.444,0.212
364,0.064,1.054,0.454,71,1534,53.130,0.214
365,0.058,0.944,0.345,142,1526,105.255,0.272
366,0.090,1.307,0.541,80,1536,26.565,0.297
367,0.049,0.894,0.394,104,1535,32.471,0.212
368,0.074,1.253,0.545,192,1547,56.310,0.230
369,0.036,0.737,0.326,116,1538,21.801,0.181
370,0.114,1.382,0.450,52,1551,70.346,0.399
371,0.057,1.065,0.472,131,1548,39.806,0.193
372,0.065,0.987,0.387,67,1548,38.660,0.257
373,0.049,0.841,0.327,163,1551,33.690,0.216
374,0.105,1.261,0.472,138,1559,39.806,0.339
375,0.078,1.271,0.556,72,1555,22.380,0.241
376,0.379,3.198,1.204,88,1576,38.884,0.536
377,0.144,1.621,0.565,12,1569,74.476,0.423
378,0.251,2.756,0.775,170,1564,110.556,0.508
379,0.101,1.450,0.584,145,1582,21.251,0.230
380,0.081,1.107,0.436,113,1582,33.690,0.270
381,0.101,1.304,0.478,224,1583,34.695,0.338
382,0.046,0.823,0.311,58,1582,29.055,0.226
383,0.979,7.670,1.870,1180,1634,67.166,1.119
384,0.032,0.720,0.285,28,1593,57.995,0.176
385,0.032,0.755,0.327,127,1600,33.690,0.162
386,0.424,3.750,1.263,73,1618,16.699,0.670
387,0.053,0.919,0.379,130,1608,28.610,0.227
388,0.032,0.730,0.308,0,1607,101.310,0.151
389,0.044,0.883,0.387,1075,1615,38.660,0.181
390,0.293,2.247,0.758,1072,1649,61.390,0.541
391,0.177,1.980,0.654,132,1644,56.310,0.419
392,0.204,2.212,0.931,1147,1651,54.246,0.363
393,5.670,28.563,4.257,1078,1649,126.626,3.013
394,0.153,1.717,0.608,1165,1642,174.289,0.393
395,0.059,0.979,0.382,1208,1661,71.565,0.242
396,0.106,1.321,0.499,61,1656,104.036,0.312
397,0.126,1.752,0.731,86,1669,29.745,0.335
398,0.203,1.852,0.646,134,1668,169.216,0.454
399,0.063,0.969,0.394,19,1670,32.471,0.253
400,0.141,1.442,0.528,80,1677,156.371,0.380
401,0.067,1.603,0.609,133,1691,26.565,0.228
402,0.093,1.279,0.517,1185,1700,69.444,0.302
403,0.047,0.901,0.393,91,1694,22.620,0.210
404,0.038,0.798,0.287,157,1694,18.435,0.212
405,0.103,1.646,0.738,7,1707,34.992,0.247
406,0.055,0.901,0.345,90,1704,15.255,0.239
407,0.041,0.858,0.369,39,1708,34.992,0.174
408,0.037,0.790,0.345,63,1713,37.875,0.176
409,0.046,0.841,0.353,73,1716,30.964,0.201
410,0.062,1.019,0.354,85,1718,19.983,0.278
411,0.576,4.272,1.674,13,1739,16.798,0.522
412,0.037,0.894,0.364,0,1736,94.764,0.181
413,0.086,1.286,0.433,154,1744,114.775,0.352
414,0.116,1.574,0.558,18,1749,167.471,0.325
415,0.176,1.656,0.596,80,1765,59.534,0.458
416,0.255,2.892,0.823,37,1756,17.103,0.597
417,0.184,2.970,1.101,105,1767,20.925,0.388
418,0.083,1.175,0.440,0,1764,15.945,0.302
419,0.049,0.901,0.387,25,1770,38.660,0.203
420,0.044,0.798,0.311,5,1773,29.055,0.213
421,0.085,1.389,0.536,61,1777,16.390,0.272
422,0.201,2.625,1.032,65,1816,58.173,0.392
423,0.345,2.275,0.765,734,1789,108.435,0.651
424,1.225,6.353,2.040,2,1845,39.588,1.213
425,0.066,1.012,0.403,115,1801,12.995,0.272
426,0.035,0.773,0.338,800,1806,26.565,0.163
